Job Title,Occupation,Employer,Creation date,Country,City,Contract Type,Job Type,Job Sector,Language,Skills,Education,Legal ID,How to Apply,Contact,Email,Phone,Job Description
Productiemanager CNC,"manufacturing manager (5 years), production supervisor (5 years)",FYGI,27/05/2025,Netherlands,"5555XP Valkenswaard ,",Direct hire,Full-time,Activities of employment placement agencies,Dutch  (C2 - Proficient),operate router machinery,Upper secondary education,,"Om te solliciteren voor deze job, gelieve de sollicitatie procedure te raadplegen",Kristel Frey,kristel.frey@fygi.nl,,"De verspaningsindustrie is in volle transitie. Automatisering, LEAN-processen en strategische ontwikkelingen bepalen de toekomst. Dit is ook zo bij Roosen Machining in Valkenswaard. Daarom zijn wij op zoek naar een productiemanager die met kennis van verspaning het verschil weet te maken. Hou jij van tempo, structuur en resultaat? En ben je boven alles een natuurlijk leider? Dan kan jij richting en energie geven aan een team van 25 vakmensen. Jij stuurt aan, optimaliseert en inspireert. Zo til jij ons team naar een hoger niveau. In ruil ontvang jij een salaris tussen € 4.500,00 en € 5.700,00, 25 vakantiedagen & 13 adv-dagen en een uitstekend pensioen (CAO Klein Metaal). Hier bepaal jij de koers, maar dat doe je samen met je team. Ben jij klaar om de draaischijf van ons bedrijf verder te versnellen? Slijp je focus, stel je scherp en lees verder., Door jou werken we efficiënter en met plezier. Want jij haalt het beste uit deze groep en stimuleert ze om elke dag het beste van zichzelf te geven., Jouw taken:, Omdat jij uit de wereld van de verspaning komt, weet je mensen te overtuigen, verkort je doorlooptijden en maak je de productieprocessen efficiënter., Ons machinepark is een speeltuin voor verspaningsliefhebbers: 15 freesbanken (o.a. Hermle C40, Mazak met FMS-robotsysteem RobotJOB, en Heidenhain-besturing met Heiper Mill-programmering) en 15 geautomatiseerde draaibanken staan klaar om onder jouw leiding hun volle potentieel te benutten. Met veel ruimte voor optimalisatie én automatisering is dit jouw kans om de vonk te zijn die het geheel in beweging zet., Als productiemanager verspaning bij Roosen Machining in Valkenswaard krijg jij een team in beweging. Met een duidelijke koers, door samen te sparren en te bouwen. Je bent direct en besluitvaardig, maar je snapt ook dat je alleen succesvol bent als je de mensen om je heen meeneemt., Wat breng jij nog mee?"
Preventieadviseur niveau 2 / kwaliteitsverantwoordelijke - BOUW,"Bricklayer (2 years), building construction worker (2 years)",ACTIEF CONSTRUCT NV,27/05/2025,Netherlands,"2481 Dessel ,",Temporary to hire,Full-time,Activities of employment placement agencies,Dutch  (B2 - Upper intermediate),,Upper secondary education,0476577628,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,De heer of mevrouw Vaganée,,,"Ben jij op zoek naar een nieuwe uitdaging?, Om ons team te versterken zijn wij op zoek naar een preventieadviseur., We zijn een familiebedrijf dat gespecialiseerd is in diverse ondergrondse technieken en waterbehandeling., We houden ons voornamelijk bezig met het plaatsen van putten voor bemalingen maar ook verkenningsboringen, ondiepe/diepe geothermie en drinkwaterputten., Als preventieadviseur sta je in voor de uitvoering van veiligheids- en kwaliteitsbeleid., Dit in samenwerking met de preventiedienst van onze groep., Je takenpakket bestaat uit:, Je werkt met bestaande processen, maar bekijkt deze en stuurt bij waar nodig., Daarnaast zie je toe op de naleving van de VCA- en ISO 9001-normen., Je vaste site is in Dessel, maar je bent regelmatig aanwezig op onze werven in België., Af en toe kan dit ook een werf in een buurland zijn., Binnen onze firma ontvang je een mooie verloning volgens PC 200 met als extra maaltijdcheques van € 6,59 / gewerkte dag., Boven op je loon ontvang je een firmawagen met tankkaart, laptop en smartphone., Bij een vaste indiensttreding krijg je een hospitalisatie- en groepsverzekering en krijg je toegang tot het cafetariaplan., Indien je werf niet bij de deur ligt verblijf je op locatie., Uiteraard krijg je een mooie vergoeding hiervoor alsook een logement- en maaltijdvergoeding., Goede mondelinge en schriftelijke vaardigheden: Nederlands, Frans en Engels, Ervaring in de bouwsector is een pluspunt, , Diploma preventieadviseur niveau 2, "
Timmerman/Schrijnwerker Nederland,carpenter,UWV Werkbedrijf BPR,27/05/2025,Netherlands,"6001BC Weert ,",Direct hire,Full-time,Regulation of and contribution to more efficient operation of businesses,Dutch  (B2 - Upper intermediate),carpentry,Upper secondary education,0827035361,"Om te solliciteren voor deze job, gelieve de sollicitatie procedure te raadplegen",Randall Sowirono,b.keijers@mertens-weert.nl,,"Samen met collega's (waaronder een aantal uit Belgie) ga je meewerken aan mooie en uitdagende utiliteitsbouwprojecten zoals scholen, sporthallen en zorginstellingen. Naast de afbouw- en ruwbouwtimmerwerk zorg je ook voor bijvoorbeeld de bekistingen, stelwerkzaamheden en eventueel maatvoering. Kortom: een leuke en afwisselende baan. Uw werklocatie: een straal van 100 km vanaf de plaats Weert (Nederlands Limburg)., - afgeronde bouwkundige opleiding (secundair of gelijkwaardig), - enige ervaring binnen de (utiliteits)bouwsector, - rijb B en eigen vervoer, - allround vakman of bereid dit via interne opleiding te gaan worden, - aandacht voor veiligheid, - interesse om samen mooie utiliteitsprojecten te realiseren, - voldoende tot goede beheersing NL taal"
Junior Projectvoorbereider Metaal,"architectural drafter (2 years), drafter (2 years)",WORKR P & O BV,27/05/2025,Netherlands,"5575CE Luyksgestel ,",Direct hire,Full-time,Activities of employment placement agencies,Dutch  (C2 - Proficient),"oversee construction project, construction legal systems, construction products, test construction material samples, identify construction materials from blueprints, building materials industry",Upper secondary education,0747677384,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Recruiter Workr,jobs@workr.be,Tel.: 011236959,"Wat wordt er
Van jou verwacht?, Ben jij technisch opgeleid en klaar om te groeien in een rol met veel afwisseling? Bij ons krijg je de kans om tot volwaardig werkvoorbereider uit te groeien., Je leert van ervaren collega’s, werkt aan echte projecten en ontwikkelt je snel binnen een moderne metaalomgeving., , , Dit is dé perfecte
job voor jou..."
Projectvoorbereider Metaal,"production engineer (2 years), Project manager (2 years), Process engineer (2 years), research and development manager (2 years), application engineer (2 years), manufacturing engineer (2 years)",WORKR P & O BV,27/05/2025,Netherlands,"5575CE Luyksgestel ,",Direct hire,Full-time,Activities of employment placement agencies,Dutch  (C2 - Proficient),,Upper secondary education,0747677384,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Recruiter Workr,jobs@workr.be,Tel.: 011236959,"Wat wordt er
Van jou verwacht?, Een technische uitdaging waar je écht invloed hebt op het eindproduct én het proces. Als Projectvoorbereider ben jij de schakel tussen klant en werkvloer. Je denkt technisch mee, vertaalt klantwensen naar maakbare oplossingen en zorgt voor een vlekkeloze voorbereiding., , , Dit is dé perfecte
job voor jou..."
Technisch Commercieel Medewerker Metaal,"call centre agent (1 day), Customer service representative (1 day), ICT help desk agent (1 day), telecommunications equipment specialised seller (1 day), Customer contact centre information clerk (1 day), online marketer (1 day)",WORKR P & O BV,27/05/2025,Netherlands,"5575CE Luyksgestel ,",Direct hire,Full-time,Activities of employment placement agencies,"English  (A2 - Elementary), Dutch  (C2 - Proficient)",,Upper secondary education,0747677384,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Recruiter Workr,pelt@workr.be,Tel.: 011236959,"Wat wordt er
Van jou verwacht?, Wij zoeken versterking in een rol waar techniek, klantcontact en structuur samenkomen. Ben jij iemand met technisch inzicht én commerciële voelsprieten? Dan is dit een kans om impact te maken binnen een modern metaalbedrijf met een familiaire sfeer., , , Dit is dé perfecte
job voor jou..."
Subsidieadviseur Dienst Finance and Control,office manager (5 years),Grensarbeid,27/05/2025,Netherlands,"6419-DJ Heerlen ,",Contract,Part-time,Activities of employment placement agencies,"English  (B2 - Upper intermediate), Dutch  (C2 - Proficient)",,Bachelor or equivalent level,,"Om te solliciteren voor deze job, gelieve de sollicitatie procedure te raadplegen",Timo Hesemans,Maastricht@grensarbeid.eu,,"Grensarbeid zoekt voor Zuyd Hogeschool een Subsidieadviseur Dienst Finance and Control., Ben jij degene die ons rondom praktijkgericht onderzoek en andere innovatieve ontwikkelingen proactief en inspirerend ondersteunt bij het werven van subsidies? Lees dan snel verder, want voor ons team Projects zijn wij op zoek naar jou!, Intro, Jij bent als subsidieadviseur een belangrijke speler in het mogelijk maken van praktijkgericht onderzoek en innovatieve projecten voor ons onderwijs en onze regio. Jij houdt ontwikkelingen bij op het gebied van nationale en Europese subsidiemogelijkheden, onderhoudt contacten met beleidsmakers en subsidieverstrekkers en signaleert kansen voor Zuyd. Je helpt lectoren en onderzoekers van Zuyd bij het ontwikkelen van een kansrijke subsidieaanvraag. Ook denk je proactief mee over de ontwikkeling van de rol van de subsidieadviseur en het subsidiebeleid van Zuyd ten behoeve van een zo goed mogelijke ondersteuning van onze docent-onderzoekers bij het aanvragen en uitvoeren van subsidieprojecten., Ben jij de verbinder, inspirator met realiteitszin, met een hands-on mentaliteit die Zuyd als kennisinstelling verder wil brengen en laten groeien, dan willen we graag met jou in gesprek., Maak kennis met je team, Zuyd heeft momenteel twee subsidieadviseurs. Als aanvulling op het team, maak je als subsidieadviseur onderdeel uit van Team Projects. Dit team bestaat verder uit subsidieadviseurs, projectcontrollers en projectadministrateurs. We werken als zelforganiserende teams. Team Projects heeft passie voor het vak en er zijn veel mogelijkheden om jezelf door te ontwikkelen. Er heerst een plezierige en open werksfeer waarin medewerkers elkaar waarderen en denken in oplossingen vanzelfsprekend is. En dat alles in een professionele, maar zeker ook ontspannen sfeer. We werken in een hybride samenstelling, waarin de meeste collega’s 50% thuis werken. Binnen het team vinden we het echter belangrijk dat de verbinding en de samenwerking in het team behouden blijft, daarom zijn de teamleden gemiddeld twee dagen in de week aanwezig op kantoor., Je bent de ideale kandidaat, omdat je enthousiast en gedreven bent, en beschikt over goede adviesvaardigheden; Je bent doelgericht, werkt systematisch en je houdt overzicht; Je denkt in mogelijkheden en hebt oog voor verschillende belangen en perspectieven; Je bent een teamspeler die daarnaast zelfstandig en op een open en transparante wijze kan opereren; Je bent een kritische lezer en kan op een opbouwende manier feedback geven, zowel schriftelijk als mondeling; Je bent een verbinder met goede netwerkvaardigheden en een proactieve instelling., Je deelt kennis en ervaring over bijvoorbeeld succesvolle, maar ook minder succesvolle aanvragen. Je krijgt energie van samenwerken aan aanvragen die er toe doen., Jouw profiel, Je beschikt over een hbo+ denk- en werkniveau en je hebt ervaring in een soortgelijke rol met kennis van nationale en Europese subsidieprogramma’s. Tevens beheers je de Engelse taal goed (zowel mondeling als schriftelijk)."
Sales- en leadershipcoach Vlaanderen - uitzonderlijk mooi loonpakket,"business consultant (1 day), ICT business analyst (1 day)",INFINITY JOBS BV,27/05/2025,Netherlands,"6041 ,",Direct hire,Full-time,Activities of employment placement agencies,"English  (C2 - Proficient), Dutch  (C2 - Proficient)",organise training,Bachelor or equivalent level,0545754860,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Torhout Industrie,,Tel.: +32 50 89 52 05,
Business Consultant,"business consultant (1 day), ICT business analyst (1 day)",INFINITY JOBS BV,27/05/2025,Netherlands,"6041 ,",Direct hire,Full-time,Activities of employment placement agencies,"English  (B2 - Upper intermediate), Dutch  (C2 - Proficient)",organise training,Lower secondary education,0545754860,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Brugge Industrie,,Tel.: +32 50 33 22 30,wij zoeken: 
Business Consultant - regio Vlaanderen,"business consultant, ICT business analyst",INFINITY JOBS BV,27/05/2025,Netherlands,"6041 ,",Direct hire,Full-time,Activities of employment placement agencies,"English  (B2 - Upper intermediate), Dutch  (C2 - Proficient)",organise training,Upper secondary education,0545754860,Gelieve de sollicitatie procedure te raadplegen of via hier te solliciteren voor deze job!,Oudenaarde Industrie,,Tel.: +32 55 89 04 04,
